Time,Speed,Position X,Position Y,Acceleration X,Speed X,Speed Y,Collision State,Road Identifier,Brake Force,Lane Number,Trip Meter
0.049962942,0,6.652868271,-1.75,0,0,0,0,0,0,3,0
0.099984005,0.339011788,6.654048443,-1.749984741,1.733253121,0.094169945,-3.05E-05,0,0,0,3,0
0.149966821,0.631492078,6.662045956,-1.749985695,1.474895597,0.175414473,-3.06E-05,0,0,0,3,0.010411443
0.199988201,0.873408556,6.67402792,-1.749986649,0.580290377,0.242613479,-2.39E-05,0,0,0,3,0.025325175
0.249971315,1.075875282,6.689184189,-1.749987483,-8.87798214,0.298854232,-1.70E-05,0,0,0,3,0.043263543
0.299973994,1.264484644,6.707012653,-1.749988317,-9.194105148,0.351245731,-1.19E-05,0,0,0,3,0.06325566
0.349995673,1.436059237,6.727072716,-1.749989033,-9.43187809,0.398905337,-1.25E-05,0,0,0,3,0.08465004
0.400001377,1.595803261,6.74894762,-1.74998951,-9.818430901,0.4432787,-3.27E-05,0,0,0,3,0.107022047
0.449981481,1.746793628,6.772341251,-1.749990225,-9.65135479,0.485220462,-4.11E-05,0,0,0,3,0.13044472
0.499983579,1.892451048,6.797311306,-1.749991417,-9.577458382,0.52568084,-3.37E-05,0,0,0,3,0.15545854
0.550028145,2.034647942,6.82410717,-1.749992847,-9.602994919,0.565180004,-2.14E-05,0,0,0,3,0.18236962
0.600047112,2.175128222,6.852928638,-1.749994159,-9.565281868,0.604202271,-1.13E-05,0,0,0,3,0.211275503
0.649991989,2.314161539,6.883857727,-1.74999547,-9.580848694,0.642822623,-6.33E-06,0,0,0,3,0.242233634
0.700001597,2.451831818,6.916885376,-1.749996662,-9.640862465,0.681064367,-2.70E-06,0,0,0,3,0.275263697
0.74999553,2.588248491,6.951947212,-1.749997854,-9.674821854,0.718957901,4.09E-06,0,0,0,3,0.310326904
0.800017238,2.722886086,6.988956451,-1.749999046,-9.687391281,0.756357253,7.33E-06,0,0,0,3,0.347342759
0.850019932,2.855315924,7.027843475,-1.75,-9.702802658,0.793143332,6.32E-06,0,0,0,3,0.386238009
0.900003016,2.985248566,7.068556309,-1.750001073,-9.721723557,0.829235733,2.60E-06,0,0,0,3,0.426959187
0.950005114,3.112237692,7.111047745,-1.750002027,-9.747907639,0.864510477,-1.92E-06,0,0,0,3,0.469458163
1.00000751,3.235930681,7.1552701,-1.75000298,-9.777952194,0.898869634,-5.81E-06,0,0,0,3,0.513687015
